time [s],sleep_position [NA](/api/datatype/270/)
0.0,nan
1.0,5.0
171.0,1.0
178.0,5.0
192.0,1.0
208.0,5.0
354.0,1.0
360.0,5.0
404.0,1.0
433.0,5.0
442.0,1.0
468.0,5.0
481.0,1.0
526.0,5.0
696.0,1.0
704.0,5.0
774.0,1.0
787.0,5.0
7978.0,2.0
7987.0,5.0
7991.0,2.0
8058.0,5.0
8073.0,2.0
8179.0,5.0
8186.0,2.0
8200.0,5.0
8211.0,2.0
8220.0,5.0
8256.0,2.0
8493.0,5.0
8621.0,2.0
9046.0,5.0
9188.0,2.0
9403.0,5.0
9517.0,2.0
9542.0,5.0
9689.0,2.0
9847.0,5.0
10886.0,2.0
10918.0,5.0
12082.0,1.0
12091.0,5.0
13662.0,4.0
13742.0,5.0
13832.0,2.0
14156.0,5.0
14167.0,3.0
15240.0,1.0
15262.0,5.0
15321.0,2.0
17591.0,5.0
17596.0,2.0
17709.0,5.0
22727.0,2.0
22745.0,5.0
22840.0,2.0
22856.0,5.0
23007.0,2.0
23070.0,5.0
23835.0,2.0
23859.0,5.0
24978.0,2.0
25000.0,5.0
25018.0,2.0
25025.0,5.0
25031.0,2.0
25041.0,5.0
25307.0,2.0
25365.0,5.0
25384.0,2.0
25507.0,5.0
25897.0,2.0
25908.0,5.0
25927.0,2.0
26144.0,5.0
26177.0,2.0
26196.0,5.0
26359.0,2.0
26393.0,5.0
26419.0,2.0
26444.0,5.0
26615.0,2.0
26726.0,5.0
26916.0,2.0
26938.0,5.0
26947.0,2.0
27003.0,5.0
27034.0,2.0
27119.0,5.0
27658.0,2.0
27667.0,5.0
27673.0,2.0
27785.0,5.0
27800.0,2.0
27869.0,5.0
27884.0,2.0
28144.0,5.0
28821.0,2.0
29038.0,5.0
30847.625,nan
