time [s],expiration [NA](/api/datatype/35/)
3.1171875,23330
6.0390625,23365
9.71875,22937
13.53125,23142
16.046875,23166
19.2734375,23163
21.7734375,23287
25.03125,23297
29.375,23133
34.8203125,23253
37.46875,23260
40.3515625,23264
43.21875,23269
46.109375,23269
51.9609375,23344
55.59375,23350
58.0078125,23334
59.640625,23213
63.9765625,23327
67.1015625,23279
69.2109375,23278
74.1015625,23359
80.890625,23296
86.328125,23331
89.1171875,23337
95.515625,23130
101.515625,23353
106.78125,23325
113.3046875,23151
122.1796875,23288
125.359375,23252
128.1796875,23238
134.3828125,23328
137.9453125,23232
142.328125,23257
147.4296875,23035
152.484375,23346
164.8828125,23383
171.0859375,23366
174.515625,23288
176.890625,23171
183.296875,23217
186.796875,23180
193.90625,23215
195.78125,23224
197.671875,23179
200.09375,23188
205.1953125,23194
207.4296875,23372
213.5,23234
216.7109375,23363
219.2109375,23377
223.8125,23390
226.625,23383
228.9140625,23363
231.640625,23387
236.25,23369
239.8828125,23402
242.453125,23399
245.703125,23173
251.546875,23360
255.421875,23336
259.2578125,23386
261.296875,23383
264.0,23375
266.828125,23372
269.875,23402
272.609375,23400
275.34375,23398
279.0078125,23345
282.40625,23376
285.671875,23416
288.21875,23414
290.5703125,23390
293.65625,23435
299.8671875,23384
303.6796875,23392
305.4765625,23400
309.8671875,23420
313.1171875,23399
315.9375,23416
318.203125,23409
319.5859375,23423
322.40625,23421
325.75,23403
330.8359375,23414
342.390625,23298
346.5234375,23415
354.5,23402
362.40625,23429
365.1640625,23419
369.0703125,23389
371.9296875,23423
375.5546875,23418
377.953125,23414
383.3046875,23391
386.4921875,23403
388.9140625,23414
391.65625,23383
395.7109375,23431
397.328125,23414
399.0234375,23388
403.2734375,23413
405.96875,23415
408.2265625,23390
410.203125,23381
411.734375,23364
413.40625,23424
416.6015625,23397
420.828125,23419
422.9609375,23405
426.0,23413
429.15625,23414
431.2421875,23386
433.296875,23399
436.796875,23358
440.6171875,23392
443.53125,23391
446.0390625,23390
448.421875,23406
452.078125,23400
454.8671875,23455
456.46875,23424
458.8046875,23377
464.859375,23371
468.6015625,23372
475.3203125,23342
481.8046875,23408
485.5,23399
487.3359375,23399
489.3515625,23378
497.0859375,23280
500.46875,23192
505.1484375,23192
507.6875,23265
517.375,23290
525.890625,23325
530.09375,23348
537.21875,23298
541.828125,23426
544.4921875,23383
549.0703125,23362
553.78125,23370
560.375,23403
570.421875,23365
576.1640625,23319
586.2890625,23316
592.3515625,23319
597.609375,23338
602.390625,23328
608.3125,23247
614.546875,23399
616.84375,23396
619.3984375,23397
621.7578125,23389
623.9765625,23382
626.21875,23386
628.671875,23371
631.6796875,23376
635.296875,23381
638.1953125,23378
640.4453125,23376
643.1953125,23366
645.5703125,23370
648.109375,23390
650.1953125,23365
651.71875,23314
654.6875,23319
658.296875,23360
660.6328125,23352
663.8515625,23379
666.4609375,23354
668.4609375,23351
670.765625,23359
674.7890625,23349
679.375,23336
685.59375,23239
687.671875,23365
691.0546875,23266
695.328125,23399
697.3046875,23420
699.5859375,23398
701.125,23407
703.5,23404
705.015625,23410
706.5078125,23420
710.1796875,23432
712.09375,23423
714.1796875,23418
715.9609375,23437
716.953125,23456
718.03125,23468
720.4140625,23447
722.0078125,23457
728.7265625,23296
736.3046875,23450
738.546875,23443
741.5,23440
743.9453125,23435
745.6328125,23383
747.640625,23398
749.765625,23407
751.671875,23409
753.703125,23410
755.9296875,23403
758.0703125,23396
760.2890625,23403
762.3359375,23401
764.28125,23396
766.609375,23403
769.6875,23405
771.7578125,23413
774.09375,23448
775.5625,23415
777.9921875,23409
780.03125,23390
782.34375,23395
784.78125,23401
786.8359375,23406
789.140625,23421
791.5390625,23405
793.578125,23418
796.875,23407
798.8125,23411
801.1875,23418
803.7578125,23415
805.734375,23412
808.203125,23410
810.21875,23416
814.0078125,23399
817.7109375,23403
819.859375,23419
822.2734375,23417
827.7890625,23432
829.71875,23409
832.4609375,23413
835.7265625,23399
840.5,23420
842.96875,23411
845.0703125,23424
848.0859375,23426
850.140625,23422
852.5,23406
854.46875,23398
856.578125,23392
858.6015625,23405
860.7421875,23412
863.2421875,23395
864.921875,23394
868.71875,23388
870.9765625,23407
873.359375,23380
875.1640625,23394
877.140625,23399
879.015625,23396
881.0078125,23396
883.328125,23387
885.3046875,23399
887.671875,23389
889.6015625,23392
891.84375,23400
894.2734375,23401
896.453125,23392
899.7265625,23448
901.8828125,23400
904.1328125,23396
906.359375,23381
908.6484375,23365
912.1484375,23100
915.5859375,23270
917.671875,23256
919.9609375,23252
923.953125,23338
926.125,23335
928.6328125,23350
931.1953125,23329
934.890625,23238
939.203125,23351
941.640625,23353
944.078125,23353
946.8125,23349
949.453125,23357
953.8359375,23344
959.140625,23188
962.7890625,23327
965.6796875,23324
968.375,23347
970.8515625,23351
974.078125,23340
976.8046875,23347
979.625,23347
982.296875,23352
986.3828125,23348
988.9453125,23354
992.078125,23347
994.7578125,23350
997.375,23355
999.984375,23353
1002.4296875,23357
1005.265625,23350
1007.9375,23361
1010.5234375,23365
1013.28125,23360
1016.0859375,23362
1018.6875,23371
1022.0625,23354
1025.5546875,23356
1028.2265625,23355
1032.3671875,23192
1040.3125,23361
1045.8828125,23353
1049.34375,23344
1052.1875,23359
1054.6953125,23360
1057.03125,23361
1059.78125,23354
1062.9140625,23318
1065.1484375,23352
1071.921875,23309
1075.9765625,23361
1079.6015625,23360
1083.171875,23357
1086.359375,23350
1088.90625,23354
1091.828125,23351
1094.8125,23348
1097.4765625,23347
1100.484375,23347
1103.1953125,23355
1106.4765625,23364
1109.0625,23353
1116.15625,23363
1122.3515625,23345
1125.03125,23348
1127.796875,23355
1130.890625,23357
1134.125,23343
1137.40625,23356
1140.1171875,23354
1144.3984375,23357
1146.953125,23347
1149.796875,23332
1152.5234375,23347
1156.78125,23359
1160.0,23357
1163.1875,23353
1166.3515625,23355
1169.3671875,23356
1172.3046875,23352
1174.71875,23360
1177.96875,23355
1180.3828125,23347
1183.3984375,23344
1185.96875,23354
1190.6328125,23187
1200.4296875,23349
1204.2734375,23348
1208.3828125,23348
1211.6171875,23343
1214.75,23343
1217.421875,23341
1220.15625,23343
1223.0546875,23341
1225.890625,23341
1228.7109375,23339
1231.46875,23338
1234.4296875,23337
1239.015625,23338
1242.0859375,23337
1245.421875,23335
1248.5390625,23335
1251.34375,23337
1254.0234375,23342
1257.0078125,23339
1260.109375,23340
1263.171875,23336
1266.15625,23338
1269.09375,23348
1272.3828125,23343
1275.5078125,23338
1278.2578125,23338
1281.453125,23301
1284.8203125,23276
1287.46875,23286
1289.9609375,23291
1292.953125,23293
1296.6484375,23114
1301.6796875,23294
1304.6015625,23295
1307.078125,23324
1309.3671875,23290
1312.203125,23295
1314.921875,23293
1317.921875,23294
1320.8046875,23290
1323.75,23292
1326.5703125,23290
1329.1171875,23288
1331.9453125,23289
1334.703125,23286
1337.7421875,23287
1340.7109375,23288
1343.7109375,23291
1346.9375,23288
1349.9765625,23287
1352.859375,23287
1355.921875,23288
1359.1015625,23290
1362.21875,23291
1364.75,23295
1367.4453125,23292
1370.3515625,23289
1373.109375,23293
1376.0625,23293
1378.8203125,23291
1381.6015625,23290
1384.578125,23290
1387.40625,23291
1390.1796875,23308
1393.5625,23313
1397.203125,23277
1400.8671875,23285
1403.6796875,23285
1406.5546875,23282
1409.34375,23287
1414.2265625,23132
1419.1640625,23298
1422.4609375,23296
1426.359375,23291
1430.734375,23295
1434.1171875,23294
1437.0546875,23323
1439.8125,23317
1442.734375,23315
1445.46875,23314
1448.359375,23314
1451.21875,23274
1454.40625,23301
1457.8515625,23287
1460.6875,23294
1463.359375,23305
1466.53125,23296
1469.890625,23294
1477.78125,23311
1484.5,23289
1487.3671875,23288
1490.75,23291
1493.9921875,23290
1497.0390625,23290
1500.21875,23292
1503.703125,23287
1507.015625,23291
1510.7265625,23296
1513.7265625,23296
1517.1953125,23291
1521.421875,23264
1525.234375,23289
1528.4765625,23288
1531.59375,23293
1534.8125,23287
1539.6328125,23217
1544.0703125,23290
1547.5703125,23287
1552.2734375,23296
1555.046875,23290
1557.40625,23276
1560.65625,23292
1563.8359375,23291
1566.7109375,23287
1569.75,23285
1572.984375,23288
1577.1953125,23111
1585.328125,23311
1590.671875,23300
1594.484375,23292
1598.703125,23289
1603.40625,23294
1606.2265625,23291
1610.796875,23218
1614.3984375,23239
1618.8203125,23321
1620.90625,23290
1623.421875,23308
1626.0546875,23293
1628.734375,23296
1631.78125,23302
1634.8046875,23297
1638.140625,23292
1641.265625,23291
1644.515625,23308
1647.234375,23282
1650.546875,23279
1653.7109375,23282
1657.03125,23309
1661.5859375,23183
1665.2421875,23260
1668.015625,23269
1670.8203125,23275
1673.9140625,23266
1678.9296875,23097
1683.2265625,23259
1687.078125,23256
1698.4609375,23224
1703.6015625,23268
1707.0,23259
1710.890625,23261
1714.296875,23259
1721.0859375,23259
1724.25,23255
1728.125,23258
1731.515625,23319
1735.671875,23197
1740.9453125,23256
1744.6015625,23262
1747.515625,23262
1752.328125,23267
1757.7265625,23062
1767.765625,23256
1771.8359375,23252
1780.078125,23190
1783.421875,23254
1790.9296875,23235
1795.421875,23264
1799.3046875,23304
1805.703125,23225
1809.6015625,23258
1813.7109375,23257
1817.3125,23275
1819.75,23284
1824.03125,23291
1827.890625,23235
1832.2734375,23256
1838.7421875,23265
1847.671875,23199
1851.9296875,23259
1855.546875,23238
1862.8046875,23069
1878.4453125,23249
1883.3984375,23260
1889.7265625,23246
1895.734375,23239
1903.6328125,23251
1907.9296875,23249
1912.3984375,23248
1915.90625,23268
1923.671875,23250
1929.1640625,23258
1939.1953125,23198
1945.828125,23245
1952.71875,23247
1962.890625,23244
1970.15625,23139
1975.765625,23054
2002.578125,23194
2017.890625,23203
2030.1796875,23242
2039.6953125,23298
2044.6015625,23381
2053.5859375,23393
2065.140625,23374
2071.46875,23414
2077.7578125,23417
2081.03125,23423
2085.1640625,23414
2088.5625,23411
2092.4296875,23420
2095.7578125,23403
2099.109375,23412
2102.671875,23397
2105.8671875,23390
2110.1171875,23400
2112.7109375,23392
2114.828125,23397
2117.078125,23392
2119.2109375,23379
2121.4140625,23376
2126.734375,23382
2130.78125,23413
2134.6875,23408
2137.96875,23410
2140.671875,23404
2146.9140625,23400
2150.0859375,23396
2153.421875,23388
2158.015625,23415
2160.734375,23410
2163.7890625,23408
2169.5234375,23407
2172.078125,23393
2176.59375,23420
2182.6015625,23430
2193.265625,23447
2196.2890625,23369
2201.828125,23437
2209.828125,23480
2212.7109375,23503
2216.7890625,23388
2220.734375,23412
2226.515625,23406
2230.03125,23401
2234.6328125,23398
2238.234375,23411
2241.5625,23414
2244.0234375,23413
2246.671875,23422
2249.484375,23413
2252.28125,23428
2255.8515625,23376
2259.84375,23403
2261.4609375,23433
2265.140625,23429
2268.6875,23392
2271.3203125,23400
2274.2109375,23406
2280.28125,23341
2284.3359375,23384
2291.3125,23217
2295.546875,23392
2298.2890625,23399
2301.4140625,23393
2306.2265625,23413
2312.6171875,23412
2314.625,23417
2316.5859375,23405
2319.078125,23419
