time [s],NN_interval [s/256](/api/datatype/318/)
24.40625,146
24.96875,144
25.53515625,145
26.109375,147
26.69921875,151
27.27734375,148
27.84765625,146
28.4140625,145
28.9765625,144
29.53515625,143
30.0859375,141
30.63671875,141
31.1875,141
31.73828125,141
226.0703125,135
226.58984375,133
227.09375,129
227.5859375,126
228.0703125,124
228.546875,122
229.0234375,122
229.4921875,120
229.95703125,119
230.42578125,120
230.89453125,120
231.359375,119
231.828125,120
232.3046875,122
232.7734375,120
233.25390625,123
233.734375,123
508.1953125,139
508.74609375,141
509.3125,145
509.8984375,150
510.48046875,149
511.06640625,150
511.625,143
512.17578125,141
512.71484375,138
513.2421875,135
513.76171875,133
514.2734375,131
514.8125,138
515.3671875,142
515.921875,142
516.51171875,151
517.13671875,160
517.76171875,160
518.3828125,159
519.0234375,164
519.65234375,161
520.2578125,155
520.85546875,153
521.45703125,154
522.0546875,153
522.65234375,153
523.25,153
523.83984375,151
524.44140625,154
525.078125,163
525.75,172
526.45703125,181
527.13671875,174
527.8046875,171
528.44921875,165
529.0625,157
529.6640625,154
530.25390625,151
530.859375,155
531.46484375,155
532.046875,149
532.62109375,147
533.17578125,142
533.72265625,140
534.2734375,141
534.8203125,140
535.375,142
535.95703125,149
536.5859375,161
537.25,170
537.90625,168
538.58984375,175
539.3359375,191
540.09765625,195
540.8125,183
541.5,176
542.203125,180
542.921875,184
543.6015625,174
544.28515625,175
545.015625,187
545.734375,184
546.43359375,179
547.140625,181
547.85546875,183
548.515625,169
549.16015625,165
549.78515625,160
550.3828125,153
550.96875,150
551.55859375,151
552.13671875,148
552.72265625,150
553.31640625,152
553.91796875,154
554.546875,161
555.18359375,163
555.8046875,159
556.41015625,155
557.01171875,154
557.61328125,154
558.20703125,152
558.79296875,150
559.37109375,148
559.94140625,146
560.51171875,146
561.09375,149
561.703125,156
562.32421875,159
563.015625,177
563.75,188
564.46875,184
565.171875,180
565.86328125,177
566.53515625,172
567.19140625,168
567.81640625,160
568.41796875,154
569.00390625,150
569.5859375,149
570.1796875,152
570.80078125,159
571.46484375,170
572.13671875,172
572.828125,177
573.4921875,170
574.125,162
574.75390625,161
575.38671875,162
576.0234375,163
576.67578125,167
577.32421875,166
577.97265625,166
578.60546875,162
579.23046875,160
579.796875,145
606.47265625,160
607.08203125,156
607.71484375,162
608.4296875,183
609.17578125,191
609.890625,183
610.58984375,179
611.23828125,166
611.83203125,152
612.40234375,146
612.9609375,143
613.54296875,149
614.1796875,163
614.83984375,169
615.5078125,171
616.16015625,167
616.78125,159
617.3828125,154
617.9609375,148
618.51171875,141
619.078125,145
619.63671875,143
620.21484375,148
620.828125,157
621.44921875,159
622.046875,153
622.6484375,154
623.23828125,151
623.8203125,149
624.3828125,144
624.9375,142
625.48046875,139
626.01171875,136
626.53515625,134
627.05078125,132
627.5625,131
628.08984375,135
628.62890625,138
629.171875,139
629.7109375,138
630.26171875,141
630.85546875,152
631.578125,185
632.3046875,186
633.69921875,173
634.375,173
635.01953125,165
635.63671875,158
636.2421875,155
636.9140625,172
637.59375,174
638.2890625,178
638.9609375,172
639.640625,174
640.32421875,175
641.01953125,178
641.72265625,180
642.41015625,176
643.1015625,177
643.796875,178
644.48046875,175
645.16015625,174
645.83984375,174
646.54296875,180
647.28125,189
648.05078125,197
648.796875,191
649.51171875,183
650.23828125,186
650.97265625,188
651.734375,195
652.4765625,190
653.234375,194
654.0,196
654.74609375,191
655.47265625,186
656.1875,183
656.8828125,178
657.5390625,168
658.19140625,167
658.8046875,157
659.3984375,152
659.9765625,148
660.5390625,144
661.12890625,151
661.796875,171
662.54296875,191
663.27734375,188
664.73046875,185
665.42578125,178
666.0859375,169
666.73828125,167
667.38671875,166
668.046875,169
668.71875,172
669.42578125,181
670.1796875,193
670.953125,198
671.6953125,190
672.39453125,179
673.0859375,177
673.73046875,165
674.37890625,166
675.01171875,162
675.640625,161
676.2734375,162
676.890625,158
677.54296875,167
678.2421875,179
678.984375,190
679.765625,200
680.52734375,195
681.296875,197
682.078125,200
682.83203125,193
683.5390625,181
684.23046875,177
684.8984375,171
685.54296875,165
686.16015625,158
686.75,151
687.33203125,149
687.91015625,148
688.48828125,148
689.09765625,156
689.75,167
690.484375,188
691.234375,192
692.01171875,199
692.74609375,188
693.4609375,183
694.1484375,176
694.84765625,179
695.5390625,177
696.21484375,173
696.87890625,170
697.51953125,164
698.1328125,157
698.7421875,156
699.3515625,156
699.984375,162
700.6171875,162
701.24609375,161
701.86328125,158
702.4765625,157
703.0859375,156
703.70703125,159
704.34375,163
704.97265625,161
705.609375,163
706.3515625,190
707.06640625,183
708.48046875,177
709.125,165
709.75,160
710.3515625,154
710.94140625,151
711.51953125,148
712.09375,147
712.68359375,151
713.265625,149
713.875,156
714.5078125,162
715.15234375,165
715.796875,165
716.43359375,163
717.05078125,158
717.65625,155
718.2421875,150
718.81640625,147
719.3828125,145
719.94140625,143
856.1484375,113
856.59375,114
857.03125,112
857.46875,112
857.8984375,110
858.33203125,111
858.76171875,110
859.1875,109
859.609375,108
860.03515625,109
860.45703125,108
860.875,107
861.2890625,106
861.70703125,107
1050.40625,149
1050.96875,144
1051.52734375,143
1052.078125,141
1052.6171875,138
1053.13671875,133
1053.65234375,132
1054.15234375,128
1054.6484375,127
1055.1484375,128
1055.65625,130
1056.16796875,131
1056.6953125,135
1057.2265625,136
1057.77734375,141
1108.04296875,146
1108.609375,145
1109.1640625,142
1109.703125,138
1110.23828125,137
1110.7578125,133
1111.28125,134
1111.8046875,134
1112.33203125,135
1112.859375,135
1113.3828125,134
1113.92578125,139
1114.46875,139
1115.0078125,138
1115.5546875,140
1260.0546875,136
1260.58984375,137
1261.1171875,135
1261.65234375,137
1262.19921875,140
1262.75,141
1263.3046875,142
1263.86328125,143
1264.41796875,142
1264.9765625,143
1265.53515625,143
1266.09375,143
1266.65234375,143
1267.20703125,142
1267.765625,143
1268.3203125,142
1268.87890625,143
1269.44140625,144
1270.0390625,153
1270.6640625,160
1271.27734375,157
1271.890625,157
1272.51171875,159
1273.14453125,162
1273.76953125,160
1274.375,155
1274.96875,152
1275.546875,148
1276.11328125,145
1276.66796875,142
1277.21484375,140
1277.7734375,143
1278.3359375,144
1278.90234375,145
1279.46484375,144
1280.0390625,147
1280.61328125,147
1281.1796875,145
1281.7421875,144
1282.296875,142
1282.83984375,139
1283.375,137
1283.8984375,134
1284.41796875,133
1284.9375,133
1285.45703125,133
1285.984375,135
1286.54296875,143
1287.1484375,155
1287.765625,158
1288.37890625,157
1289.0078125,161
1289.6484375,164
1290.29296875,165
1290.9140625,159
1291.52734375,157
1292.140625,157
1292.75390625,157
1293.35546875,154
1293.953125,153
1294.56640625,157
1295.19140625,160
1295.8125,159
1296.43359375,159
1297.078125,165
1297.75,172
1298.421875,172
1299.05859375,163
1299.68359375,160
1300.2890625,155
1300.890625,154
1301.48046875,151
1302.05859375,148
1302.64453125,150
1303.2265625,149
1303.8046875,148
1304.390625,150
1304.98046875,151
1305.55078125,146
1306.109375,143
1306.6640625,142
1307.2109375,140
1307.74609375,137
1308.28125,137
1308.8203125,138
1309.3828125,144
1309.96875,150
1310.54296875,147
1311.1328125,151
1311.7421875,156
1312.34765625,155
1312.9453125,153
1313.55859375,157
1314.1796875,159
1314.78515625,155
1315.40234375,158
1316.01953125,158
1316.61328125,152
1317.1953125,149
1317.7734375,148
1318.3515625,148
1318.92578125,147
1319.48828125,144
1320.05078125,144
1320.609375,143
1321.17578125,145
1321.734375,143
1322.29296875,143
1322.8515625,143
1323.41796875,145
1324.0546875,163
1324.68359375,161
1325.328125,165
1325.96484375,163
1326.59375,161
1327.21875,160
1327.84375,160
1328.4765625,162
1329.09375,158
1329.69921875,155
1330.27734375,148
1330.84375,145
1331.41015625,145
1331.9921875,149
1332.59375,154
1333.2109375,158
1333.8359375,160
1334.453125,158
1335.05078125,153
1335.640625,151
1336.2109375,146
1336.7734375,144
1337.34375,146
1337.9140625,146
1338.484375,146
1339.0546875,146
1339.62890625,147
1340.19140625,144
1340.76171875,146
1341.34765625,150
1341.9609375,157
1342.59765625,163
1343.2421875,165
1343.8828125,164
1344.5,158
1345.12109375,159
1345.73046875,156
1346.34375,157
1346.95703125,157
1347.5625,155
1348.15625,152
1348.73046875,147
1349.29296875,144
1349.84375,141
1350.39453125,141
1350.94921875,142
1351.5234375,147
1352.125,154
1352.76171875,163
1353.41015625,166
1354.0390625,161
1354.65625,158
1355.265625,156
1355.8671875,154
1356.4609375,152
1357.04296875,149
1357.62109375,148
1358.2109375,151
1358.82421875,157
1359.46484375,164
1360.09375,161
1360.71875,160
1361.34765625,161
1361.98046875,162
1362.60546875,160
1363.21484375,156
1363.8203125,155
1364.41796875,153
1365.0078125,151
1365.59375,150
1366.1796875,150
1366.76953125,151
1367.3671875,153
1367.96875,154
1368.56640625,153
1369.15625,151
1369.7421875,150
1370.328125,150
1370.91015625,149
1371.484375,147
1372.06640625,149
1372.65625,151
1373.26171875,155
1373.87109375,156
1374.484375,157
1375.1015625,158
1375.71484375,157
1376.31640625,154
1376.8984375,149
1377.48046875,149
1378.0546875,147
1378.625,146
1379.19140625,145
1379.7421875,141
1380.2890625,140
1380.828125,138
1381.359375,136
1381.88671875,135
1382.41015625,134
1382.9375,135
1383.46875,136
1384.0234375,142
1384.62109375,153
1385.296875,173
1386.0078125,182
1386.73046875,185
1387.4375,181
1388.16015625,185
1388.8828125,185
1389.58984375,181
1390.2578125,171
1390.88671875,161
1391.484375,153
1392.0625,148
1392.6171875,142
1393.16015625,139
1393.703125,139
1394.25,140
1394.82421875,147
1395.44140625,158
1396.05078125,156
1396.68359375,162
1397.33984375,168
1398.01953125,174
1398.70703125,176
1399.37109375,170
1400.01171875,164
1400.63671875,160
1401.25390625,158
1401.87890625,160
1402.4921875,157
1403.1015625,156
1403.734375,162
1404.37890625,165
1405.03125,167
1405.6640625,162
1406.296875,162
1406.93359375,163
1407.56640625,162
1408.19140625,160
1408.8046875,157
1409.42578125,159
1410.0390625,157
1410.65234375,157
1411.265625,157
1411.875,156
1412.4765625,154
1413.08203125,155
1413.6875,155
1414.28125,152
1414.859375,148
1415.42578125,145
1415.98828125,144
1416.5390625,141
1417.09375,142
1417.64453125,141
1418.19140625,140
1418.75390625,144
1419.3515625,153
1419.953125,154
1420.55859375,155
1421.15234375,152
1421.7421875,151
1422.32421875,149
1422.8984375,147
1423.4609375,144
1424.01953125,143
1424.578125,143
1425.14453125,145
1425.75,155
1426.38671875,163
1427.0234375,163
1427.6171875,152
1428.22265625,155
