time [s],inspiration [NA](/api/datatype/34/)
2.1015625,23525
4.546875,23552
6.890625,23541
11.5859375,23555
12.4921875,23598
15.6640625,23571
18.1015625,23578
21.078125,23578
23.75,23581
26.328125,23566
28.8359375,23587
31.9765625,23574
34.796875,23611
37.1640625,23616
39.6328125,23589
42.3203125,23577
44.1875,23549
46.6015625,23421
48.265625,23393
50.234375,23487
52.734375,23458
54.28125,23534
58.3203125,23545
64.3984375,23488
67.71875,23513
70.796875,23504
73.15625,23468
76.1875,23471
78.8515625,23472
88.0234375,23559
94.6875,23465
96.90625,23445
100.8515625,23538
104.765625,23514
113.0234375,23529
118.21875,23530
120.609375,23530
122.859375,23553
125.34375,23530
128.109375,23544
130.296875,23535
132.515625,23518
134.6484375,23543
136.7578125,23538
138.65625,23492
142.125,23528
144.0625,23513
146.0546875,23523
148.1953125,23545
150.4140625,23509
152.78125,23506
158.1171875,23534
160.125,23482
162.75,23467
165.2734375,23488
167.84375,23477
169.984375,23454
172.28125,23459
174.359375,23431
176.5078125,23472
178.921875,23473
181.578125,23444
183.71875,23451
185.875,23445
188.0390625,23455
190.5,23505
193.484375,23504
196.9140625,23525
199.34375,23539
201.8125,23531
204.3203125,23526
207.1796875,23537
209.4765625,23543
212.3828125,23544
214.4140625,23530
216.6796875,23483
219.171875,23420
222.46875,23522
225.1015625,23532
227.7421875,23517
230.9453125,23512
233.9296875,23520
236.40625,23530
239.25,23529
241.609375,23531
243.4765625,23441
245.5859375,23432
248.0390625,23430
250.0390625,23496
251.9609375,23536
254.3125,23535
256.1953125,23551
259.3046875,23569
262.0859375,23553
268.15625,23555
270.921875,23544
273.7734375,23539
276.234375,23554
278.1328125,23558
281.953125,23576
284.09375,23564
286.375,23565
288.9140625,23567
291.0078125,23554
293.203125,23564
294.71875,23558
296.5625,23546
299.7890625,23568
302.0625,23570
304.03125,23563
305.953125,23552
308.296875,23557
310.25,23550
312.6328125,23566
314.421875,23560
316.3828125,23560
318.4765625,23552
320.5,23549
322.7109375,23570
325.703125,23566
327.8125,23578
329.8671875,23571
332.0546875,23574
334.4375,23562
336.6875,23556
339.59375,23568
341.484375,23566
343.34375,23552
345.3515625,23550
347.4453125,23551
350.6015625,23556
352.7109375,23548
355.4140625,23549
357.921875,23556
360.171875,23558
362.2109375,23553
364.3046875,23549
366.640625,23549
369.109375,23554
371.484375,23553
374.1015625,23552
380.453125,23554
382.4296875,23574
385.921875,23554
388.5625,23578
390.7421875,23552
392.9453125,23562
395.9140625,23547
398.5234375,23564
400.375,23573
402.8359375,23540
405.453125,23565
407.3671875,23561
409.2421875,23558
411.421875,23559
413.7734375,23558
415.5625,23566
417.7578125,23561
419.796875,23564
421.8828125,23576
423.8359375,23584
425.6015625,23566
427.609375,23569
430.5703125,23555
432.4453125,23573
434.625,23581
436.8984375,23575
439.1875,23577
441.5546875,23572
443.3515625,23569
445.71875,23577
447.7265625,23586
449.5390625,23575
452.1015625,23598
454.1640625,23595
456.03125,23598
457.8125,23601
459.59375,23591
461.3203125,23584
463.2109375,23594
465.4453125,23594
467.7265625,23596
469.6328125,23595
472.375,23575
474.0859375,23550
476.3359375,23544
480.4296875,23446
482.0625,23443
484.0,23454
486.625,23465
489.15625,23468
492.2265625,23532
495.0390625,23478
497.4296875,23489
498.9765625,23480
503.796875,23465
511.09375,23461
514.75,23473
516.8359375,23475
519.2890625,23469
522.7109375,23478
525.96875,23487
527.9609375,23488
533.84375,23494
536.671875,23489
540.015625,23468
542.4296875,23470
544.953125,23490
547.9296875,23490
551.09375,23472
552.9296875,23449
554.9453125,23492
558.2109375,23483
561.2109375,23489
563.3359375,23475
567.4140625,23488
569.921875,23463
573.9609375,23477
579.03125,23576
584.3203125,23490
589.71875,23525
595.7734375,23489
599.5390625,23498
602.09375,23484
605.390625,23482
610.1015625,23456
617.9609375,23452
625.65625,23422
629.125,23502
644.1328125,23463
647.984375,23453
651.296875,23448
659.8046875,23445
664.9375,23445
667.40625,23443
671.2265625,23426
675.8984375,23441
678.28125,23434
682.4453125,23420
686.0859375,23435
688.4609375,23456
692.671875,23500
695.921875,23475
701.140625,23463
703.4140625,23464
709.4453125,23440
712.6171875,23443
716.703125,23438
719.8359375,23469
725.5078125,23441
727.9765625,23434
730.640625,23427
733.9921875,23430
737.5703125,23423
740.625,23486
743.4296875,23480
748.140625,23512
749.328125,23499
753.6171875,23526
756.9296875,23493
758.3828125,23509
762.984375,23439
765.1796875,23501
769.8046875,23498
771.2734375,23501
773.40625,23481
775.2890625,23473
779.5703125,23522
782.0625,23486
784.4765625,23513
789.1640625,23495
792.125,23495
795.40625,23500
798.03125,23482
799.8515625,23489
801.671875,23496
803.2421875,23521
805.7265625,23518
807.53125,23484
811.4921875,23513
813.4765625,23498
816.296875,23523
817.890625,23517
819.578125,23513
821.1171875,23529
822.765625,23502
825.2578125,23511
826.390625,23524
828.6875,23492
830.0078125,23526
831.7421875,23523
833.6875,23523
835.640625,23533
837.4296875,23533
839.0078125,23526
840.4453125,23532
842.5,23475
846.375,23533
847.8671875,23520
849.9609375,23537
852.046875,23535
855.7734375,23522
859.453125,23536
861.2734375,23533
862.84375,23540
868.625,23537
871.71875,23558
873.375,23539
875.375,23568
877.3671875,23501
879.8359375,23511
882.1015625,23505
884.8671875,23524
887.1015625,23512
891.234375,23496
893.859375,23468
895.8359375,23474
897.75,23479
900.734375,23467
903.328125,23467
904.8984375,23505
906.921875,23485
909.015625,23486
910.921875,23484
912.828125,23515
915.59375,23498
917.125,23525
918.484375,23513
920.609375,23533
922.5,23559
924.3046875,23568
925.640625,23497
928.125,23547
933.2578125,23548
935.2421875,23542
937.0546875,23530
941.1328125,23528
944.015625,23510
946.0,23547
947.4296875,23553
949.171875,23538
951.0,23509
952.9296875,23524
956.8828125,23508
959.578125,23515
961.6953125,23541
963.796875,23533
966.0,23536
968.015625,23527
969.9765625,23523
971.84375,23528
974.1328125,23530
976.21875,23522
978.34375,23540
980.59375,23527
982.578125,23514
984.65625,23566
986.65625,23553
988.609375,23520
990.46875,23550
992.25,23533
993.96875,23542
996.1796875,23563
998.421875,23551
1000.5546875,23504
1002.3984375,23577
1004.6640625,23568
1006.8828125,23567
1008.8828125,23574
1010.9765625,23570
1013.0859375,23523
1015.1328125,23531
1018.5234375,23540
1020.46875,23518
1022.609375,23493
1024.6484375,23515
1027.046875,23444
1028.828125,23465
1030.7265625,23482
1032.8515625,23480
1034.984375,23513
1036.9765625,23517
1039.3984375,23513
1043.5546875,23500
1045.4921875,23513
1047.625,23506
1049.921875,23496
1053.4296875,23483
1055.359375,23485
1057.9765625,23496
1060.1875,23505
1062.703125,23481
1065.375,23469
1067.6171875,23483
1070.203125,23457
1072.6796875,23494
1076.390625,23521
1078.4375,23471
1080.6953125,23511
1084.265625,23490
1087.9375,23470
1090.171875,23506
1092.515625,23464
1095.0546875,23457
1097.4140625,23462
1099.8203125,23461
1102.6171875,23506
1105.21875,23468
1107.6484375,23448
1109.7265625,23457
1111.921875,23447
1114.0,23488
1116.109375,23456
1119.4921875,23494
1121.8203125,23488
1124.359375,23491
1126.6171875,23480
1128.7578125,23509
1130.7109375,23531
1132.265625,23494
1134.640625,23488
1136.71875,23535
1138.5703125,23513
1140.234375,23473
1141.7265625,23510
1143.5546875,23504
1145.6640625,23515
1147.59375,23524
1149.4609375,23496
1151.6328125,23510
1154.1328125,23505
1156.234375,23524
1158.3671875,23510
1160.5,23532
1162.4375,23520
1164.5703125,23502
1166.4375,23542
1167.8671875,23486
1169.921875,23511
1171.734375,23509
1173.578125,23508
1175.6953125,23513
1177.84375,23500
1180.375,23530
1182.5,23530
1184.84375,23520
1187.1328125,23515
1189.5625,23507
1192.1015625,23510
1194.6875,23525
1197.328125,23534
1200.1015625,23538
1202.3828125,23508
1204.8203125,23511
1207.265625,23518
1209.3046875,23514
1211.453125,23520
1213.515625,23513
1215.5625,23507
1217.875,23510
1220.9296875,23501
1222.625,23502
1224.890625,23509
1226.796875,23507
1228.8359375,23512
1231.21875,23504
1233.6015625,23521
1235.515625,23501
1238.171875,23508
1240.421875,23497
1242.7578125,23476
1244.9375,23475
1249.0703125,23492
1253.0546875,23501
1255.34375,23491
1257.7109375,23551
1260.1484375,23521
1262.3046875,23514
1264.8828125,23509
1267.59375,23522
1270.328125,23520
1272.9921875,23511
1275.625,23534
1278.609375,23509
1280.890625,23524
1284.1875,23527
1286.90625,23511
1289.84375,23521
1292.28125,23522
1294.7890625,23524
1297.984375,23503
1300.703125,23528
1306.7109375,23522
1309.1875,23501
1311.7578125,23506
1313.734375,23518
1315.8984375,23502
1318.203125,23502
1320.640625,23509
1330.5625,23498
1333.6640625,23498
1339.125,23499
1343.203125,23499
1349.6015625,23507
1353.140625,23499
1356.25,23504
1358.9296875,23514
1361.734375,23503
1364.671875,23500
1367.640625,23513
1370.3359375,23520
1373.046875,23504
1375.515625,23518
1382.3125,23507
1385.828125,23493
1391.3046875,23500
1394.8671875,23535
1398.5,23507
1401.5859375,23514
1404.7265625,23504
1407.6796875,23505
1410.6015625,23506
1413.9609375,23510
1416.5859375,23502
1423.0234375,23498
1427.875,23495
1433.4453125,23488
1437.5859375,23480
1440.6484375,23481
1445.0546875,23492
1447.7890625,23479
1451.3125,23489
1454.484375,23485
1458.0859375,23510
1460.6796875,23506
1463.7734375,23509
1467.3046875,23537
1475.25,23530
1478.7734375,23500
1481.3671875,23491
1488.9609375,23501
1491.7890625,23501
1494.859375,23499
1497.4296875,23488
1501.2265625,23483
1505.0703125,23511
1508.015625,23520
1516.6875,23497
1520.34375,23489
1524.6015625,23504
1527.015625,23494
1529.6328125,23488
1532.5546875,23493
1535.4453125,23498
1539.53125,23479
1543.046875,23478
1545.9453125,23486
1549.03125,23481
1552.515625,23477
1555.0078125,23526
1558.03125,23505
1560.828125,23492
1563.625,23478
1566.9921875,23467
1570.34375,23472
1574.265625,23473
1581.8203125,23510
1584.6953125,23477
1588.53125,23481
1592.21875,23478
1594.9921875,23472
1598.5,23487
1601.453125,23468
1605.0546875,23475
1608.8828125,23483
1612.6328125,23471
1616.4453125,23480
1619.9375,23510
1628.8359375,23467
1632.703125,23470
1636.4296875,23468
1641.0078125,23488
1645.625,23492
1649.421875,23548
1653.578125,23510
1657.875,23455
1668.421875,23457
1675.671875,23466
1680.125,23433
1685.0,23432
1689.6796875,23426
1698.0859375,23454
1702.453125,23462
1707.921875,23452
1713.328125,23470
1717.4453125,23499
1720.46875,23475
1730.1171875,23471
1733.078125,23474
1738.9296875,23422
1742.0078125,23439
1745.96875,23447
1754.6640625,23428
1758.109375,23444
1762.4453125,23459
1766.25,23456
1769.875,23423
1773.3984375,23438
1776.734375,23437
1779.703125,23433
1785.890625,23413
1796.125,23394
1799.9609375,23418
1803.3515625,23413
1806.890625,23421
1810.7578125,23412
1815.1484375,23432
1819.9609375,23406
1827.875,23405
1831.171875,23417
1834.84375,23424
1838.234375,23415
1842.0078125,23421
1846.609375,23423
1850.3671875,23424
1853.8046875,23420
1856.8203125,23430
1859.8125,23426
1862.9296875,23419
1865.8125,23418
1868.484375,23423
1871.0546875,23428
1876.3125,23452
1880.9375,23430
1883.984375,23410
1887.1484375,23414
1889.9765625,23423
1892.7109375,23448
1896.53125,23404
1899.859375,23410
1903.453125,23425
1907.6171875,23421
1911.2265625,23417
1914.4453125,23423
1917.921875,23424
1921.265625,23427
1924.1484375,23423
1927.1875,23423
1930.3515625,23428
1933.0625,23416
1936.3984375,23414
1940.2109375,23413
1943.4375,23418
1946.6953125,23421
1950.09375,23430
1953.5078125,23418
1957.1953125,23416
1961.0078125,23417
1964.6015625,23416
1967.8203125,23419
1970.90625,23419
1977.625,23435
1981.3125,23428
1985.046875,23424
1988.3671875,23424
1991.890625,23427
1994.78125,23426
1998.78125,23415
2002.09375,23430
2006.765625,23452
2009.34375,23431
2018.9609375,23464
2021.859375,23432
2027.9375,23430
2038.421875,23430
2042.5703125,23435
2050.4765625,23455
2057.3359375,23413
2061.9375,23409
2065.5625,23435
2069.0859375,23408
2073.0859375,23416
2076.5859375,23419
2079.9375,23422
2083.9453125,23452
2086.5546875,23414
2090.0,23397
2093.4921875,23396
2096.578125,23405
2099.8125,23403
2103.0390625,23392
2106.2109375,23409
2113.25,23400
2116.6015625,23403
2119.40625,23397
2122.4296875,23408
2126.8515625,23405
2131.2109375,23405
2134.734375,23420
2136.7421875,23406
2140.3984375,23396
2143.0546875,23415
2146.4140625,23416
2149.8984375,23417
2152.3828125,23416
2156.90625,23392
2159.671875,23407
2163.703125,23398
2167.6875,23393
2171.09375,23402
2174.40625,23400
2177.328125,23407
2182.0,23396
2185.6328125,23400
2188.65625,23404
